peak_rank,dataset,param_set,channel,sample_id,trial,peak_wavelength_nm_grid,peak_wavelength_nm_refined,peak_wavelength_nm_0p1,peak_intensity,peak_intensity_refined
1,air,100H.cont.trial,bulk,air__100H.cont.trial__bulk,,335.0,335.35558839948385,335.4,9.53464e-05,9.741888475842173e-05
2,air,100H.cont.trial,bulk,air__100H.cont.trial__bulk,,356.0,355.83827224270317,355.8,6.0734e-05,6.106816997851457e-05
3,air,100H.cont.trial,bulk,air__100H.cont.trial__bulk,,391.0,390.5010770829881,390.5,5.96969e-05,6.134933270114337e-05
4,air,100H.cont.trial,bulk,air__100H.cont.trial__bulk,,314.0,314.0854344794887,314.1,4.45885e-05,4.470549611207378e-05
5,air,100H.cont.trial,bulk,air__100H.cont.trial__bulk,,309.0,308.5120782786015,308.5,2.2344e-05,2.427266185956116e-05
6,air,100H.cont.trial,bulk,air__100H.cont.trial__bulk,,379.0,379.1389226486847,379.1,2.56912e-06,2.5814268101403534e-06
7,air,100H.cont.trial,bulk,air__100H.cont.trial__bulk,,304.0,304.05851647223517,304.1,1.15211e-06,1.1544031288848344e-06
8,air,100H.cont.trial,bulk,air__100H.cont.trial__bulk,,384.0,384.0757121750258,384.1,1.02784e-06,1.0296363470646613e-06
9,air,100H.cont.trial,bulk,air__100H.cont.trial__bulk,,329.0,329.04972771753245,329.0,9.71717e-07,9.730545388504004e-07
10,air,100H.cont.trial,bulk,air__100H.cont.trial__bulk,,260.0,259.93274315934696,259.9,5.23093e-07,5.231225089388365e-07
1,air,1H.1A-CONT,bulk,air__1H.1A-CONT__bulk,,336.0,335.88683734258353,335.9,0.000107985,0.00010815481754185205
2,air,1H.1A-CONT,bulk,air__1H.1A-CONT__bulk,,390.0,390.48855981416955,390.5,5.26455e-05,5.367306342915215e-05
3,air,1H.1A-CONT,bulk,air__1H.1A-CONT__bulk,,355.0,354.87582383012193,354.9,5.081e-05,5.09570463159654e-05
4,air,1H.1A-CONT,bulk,air__1H.1A-CONT__bulk,,312.0,312.2645953983409,312.3,4.59959e-05,4.651029329902958e-05
5,air,1H.1A-CONT,bulk,air__1H.1A-CONT__bulk,,358.0,357.7862652086863,357.8,4.01411e-05,4.05118710858617e-05
6,air,1H.1A-CONT,bulk,air__1H.1A-CONT__bulk,,251.0,250.97551852349594,251.0,3.44533e-05,3.446199643249115e-05
7,air,1H.1A-CONT,bulk,air__1H.1A-CONT__bulk,,316.0,316.4000855259848,316.4,3.2738e-05,3.305616801453941e-05
8,air,1H.1A-CONT,bulk,air__1H.1A-CONT__bulk,,266.0,266.23234045126213,266.2,2.64612e-05,2.7041499319583528e-05
9,air,1H.1A-CONT,bulk,air__1H.1A-CONT__bulk,,377.0,377.4260884500737,377.4,2.03229e-05,2.1142087001900427e-05
10,air,1H.1A-CONT,bulk,air__1H.1A-CONT__bulk,,385.0,385.1088471363283,385.1,1.16167e-05,1.1678061484633698e-05
1,air,1H.9A,bulk,air__1H.9A__bulk,,201.0,200.96197192331934,201.0,0.002106126,0.0021073833793414077
2,air,1H.9A,bulk,air__1H.9A__bulk,,335.0,335.41679918795467,335.4,0.000332147,0.00033728134079681946
3,air,1H.9A,bulk,air__1H.9A__bulk,,356.0,355.96305483519376,356.0,0.000222106,0.00022214231709700454
4,air,1H.9A,bulk,air__1H.9A__bulk,,314.0,314.1323653411582,314.1,0.000164827,0.00016508673389068772
5,air,1H.9A,bulk,air__1H.9A__bulk,,379.0,379.0471531535646,379.0,7.96838e-05,7.969840686814547e-05
6,air,1H.9A,bulk,air__1H.9A__bulk,,390.0,390.25185159115614,390.3,6.67466e-05,6.715211254321032e-05
7,air,1H.9A,bulk,air__1H.9A__bulk,,206.0,205.88636994229435,205.9,5.05826e-05,5.10174744460707e-05
8,air,1H.9A,bulk,air__1H.9A__bulk,,374.0,373.6183214477978,373.6,3.91759e-05,4.027186133675721e-05
9,air,1H.9A,bulk,air__1H.9A__bulk,,297.0,296.5868166472808,296.6,3.16453e-05,3.3149731576002154e-05
10,air,1H.9A,bulk,air__1H.9A__bulk,,270.0,270.08682929592686,270.1,2.70994e-05,2.7185905856799532e-05
