dataset,param_set,channel,species,peak_assignments,concentration_score,mean_delta_nm,group_total_signal,relative_concentration,group_label
diameter,0.5mm,Base,N2,4,0.00010490882570687904,0.3750000000000142,0.00017842510103491924,0.5879712276937287,diameter | 0.5mm | Base
diameter,0.5mm,Base,N2+,1,7.275453759723359e-05,0.3000000000000113,0.00017842510103491924,0.4077595426609563,diameter | 0.5mm | Base
diameter,0.5mm,Base,O II,1,7.617377308066053e-07,1.8000000000000114,0.00017842510103491924,0.004269229645315023,diameter | 0.5mm | Base
diameter,0.5mm,Middle,N2,5,0.0003224043294779895,0.559999999999991,0.0004744394524153586,0.6795478913834794,diameter | 0.5mm | Middle
diameter,0.5mm,Middle,N2+,1,0.00014045758928571658,0.3999999999999772,0.0004744394524153586,0.2960495561038416,diameter | 0.5mm | Middle
diameter,0.5mm,Middle,OH,1,7.320043103448332e-06,1.8999999999999773,0.0004744394524153586,0.015428824618572904,diameter | 0.5mm | Middle
diameter,0.5mm,Middle,O II,1,4.257490548204137e-06,1.3000000000000114,0.0004744394524153586,0.008973727894106122,diameter | 0.5mm | Middle
diameter,0.5mm,Tip,N2,3,4.121050788736571e-05,1.033333333333322,7.73684590784871e-05,0.5326525612402253,diameter | 0.5mm | Tip
diameter,0.5mm,Tip,N2+,2,3.579073367264848e-05,0.700000000000017,7.73684590784871e-05,0.4626010922143385,diameter | 0.5mm | Tip
diameter,0.5mm,Tip,OH,1,3.6721751847290916e-07,1.8999999999999773,7.73684590784871e-05,0.004746346545436328,diameter | 0.5mm | Tip
diameter,1mm,0.5 cm below,N2,5,3.250506353549738e-05,0.7200000000000045,3.750743226269838e-05,0.8666299337111403,diameter | 1mm | 0.5 cm below
diameter,1mm,0.5 cm below,N2+,1,4.906876663708938e-06,1.3000000000000114,3.750743226269838e-05,0.13082411585367015,diameter | 1mm | 0.5 cm below
diameter,1mm,0.5 cm below,OH,1,9.54920634920631e-08,1.8000000000000114,3.750743226269838e-05,0.002545950435189646,diameter | 1mm | 0.5 cm below
diameter,1mm,Base,N2,4,0.00024225987004106625,0.5250000000000057,0.00028300634848700367,0.8560227406071472,diameter | 1mm | Base
diameter,1mm,Base,N2+,2,3.9326349884683844e-05,0.75,0.00028300634848700367,0.13895924983636826,diameter | 1mm | Base
diameter,1mm,Base,OH,1,1.4201285612535611e-06,0.0,0.00028300634848700367,0.005018009556484479,diameter | 1mm | Base
diameter,1mm,Middle,N2,6,0.0007380693134396922,0.6000000000000133,0.0009374436172742326,0.7873212850771195,diameter | 1mm | Middle
diameter,1mm,Middle,N2+,2,0.00019937430383454042,0.75,0.0009374436172742326,0.2126787149228805,diameter | 1mm | Middle
diameter,1mm,Tip,N2,5,0.00014018809096335278,0.5399999999999977,0.00016308911565214728,0.8595796868649402,diameter | 1mm | Tip
diameter,1mm,Tip,N2+,1,2.2468201754385644e-05,0.6000000000000227,0.00016308911565214728,0.13776640865665166,diameter | 1mm | Tip
diameter,1mm,Tip,OH,1,4.3282293440884743e-07,1.8999999999999773,0.00016308911565214728,0.002653904478408083,diameter | 1mm | Tip
