dataset,param_set,channel,group_label,species,relative_concentration,concentration_score
diameter,0.5mm,Base,diameter | 0.5mm | Base,N2,0.5879712276937287,0.00010490882570687904
diameter,0.5mm,Base,diameter | 0.5mm | Base,N2+,0.4077595426609563,7.275453759723359e-05
diameter,0.5mm,Base,diameter | 0.5mm | Base,O II,0.004269229645315023,7.617377308066053e-07
diameter,0.5mm,Middle,diameter | 0.5mm | Middle,N2,0.6795478913834794,0.0003224043294779895
diameter,0.5mm,Middle,diameter | 0.5mm | Middle,N2+,0.2960495561038416,0.00014045758928571658
diameter,0.5mm,Middle,diameter | 0.5mm | Middle,OH,0.015428824618572904,7.320043103448332e-06
diameter,0.5mm,Tip,diameter | 0.5mm | Tip,N2,0.5326525612402253,4.121050788736571e-05
diameter,0.5mm,Tip,diameter | 0.5mm | Tip,N2+,0.4626010922143385,3.579073367264848e-05
diameter,0.5mm,Tip,diameter | 0.5mm | Tip,OH,0.004746346545436328,3.6721751847290916e-07
diameter,1mm,0.5 cm below,diameter | 1mm | 0.5 cm below,N2,0.8666299337111403,3.250506353549738e-05
diameter,1mm,0.5 cm below,diameter | 1mm | 0.5 cm below,N2+,0.13082411585367015,4.906876663708938e-06
diameter,1mm,0.5 cm below,diameter | 1mm | 0.5 cm below,OH,0.002545950435189646,9.54920634920631e-08
diameter,1mm,Base,diameter | 1mm | Base,N2,0.8560227406071472,0.00024225987004106625
diameter,1mm,Base,diameter | 1mm | Base,N2+,0.13895924983636826,3.9326349884683844e-05
diameter,1mm,Base,diameter | 1mm | Base,OH,0.005018009556484479,1.4201285612535611e-06
diameter,1mm,Middle,diameter | 1mm | Middle,N2,0.7873212850771195,0.0007380693134396922
diameter,1mm,Middle,diameter | 1mm | Middle,N2+,0.2126787149228805,0.00019937430383454042
diameter,1mm,Tip,diameter | 1mm | Tip,N2,0.8595796868649402,0.00014018809096335278
diameter,1mm,Tip,diameter | 1mm | Tip,N2+,0.13776640865665166,2.2468201754385644e-05
diameter,1mm,Tip,diameter | 1mm | Tip,OH,0.002653904478408083,4.3282293440884743e-07
