peak_rank,dataset,param_set,channel,n_curves,peak_wavelength_nm_grid,peak_wavelength_nm_refined,peak_wavelength_nm_0p1,peak_intensity,peak_intensity_refined,candidate_rank,delta_nm,nist_wavelength_nm,nist_obs_wl_nm,nist_ritz_wl_nm,nist_aki_s-1,nist_acc,nist_transition_type,nist_spectra_query,nist_element,nist_ion_stage,nist_species,nist_transition,nist_rel_intensity,nist_source
1,air,100H,bulk,3,335.0,335.34109214453343,335.3,0.00012906466666666666,0.0001307551932382723,1,0.15550980000000436,335.4555098,,335.4555098,1453700.0,AAA,,He I,He,I,He I,,1453700.0,live_nist
1,air,100H,bulk,3,335.0,335.34109214453343,335.3,0.00012906466666666666,0.0001307551932382723,2,0.16900000000003956,335.131,,335.131,,,,O II,O,II,O II,,,live_nist
1,air,100H,bulk,3,335.0,335.34109214453343,335.3,0.00012906466666666666,0.0001307551932382723,3,0.2076200000000199,335.09238,335.09238,335.092386,150000000.0,D,,Ar II,Ar,II,Ar II,,150000000.0,live_nist
2,air,100H,bulk,3,390.0,390.0978727679337,390.1,8.37513e-05,8.384903166802662e-05,1,0.037490000000047985,390.06251,390.06251,390.062636,7200000.0,B,,Ar II,Ar,II,Ar II,,7200000.0,live_nist
2,air,100H,bulk,3,390.0,390.0978727679337,390.1,8.37513e-05,8.384903166802662e-05,2,0.08155000000004975,390.01845,,390.01845,414000.0,C,,N I,N,I,N I,,414000.0,live_nist
2,air,100H,bulk,3,390.0,390.0978727679337,390.1,8.37513e-05,8.384903166802662e-05,3,0.469600000000014,389.6304,389.6304,389.63032,162000.0,C,,O II,O,II,O II,,162000.0,live_nist
3,air,100H,bulk,3,356.0,355.6856112716226,355.7,6.477403333333334e-05,6.55272275094375e-05,1,0.009619999999983975,355.69038,355.69038,355.690383,5000000.0,B,,Ar II,Ar,II,Ar II,,5000000.0,live_nist
3,air,100H,bulk,3,356.0,355.6856112716226,355.7,6.477403333333334e-05,6.55272275094375e-05,2,0.24593459999999823,355.4540654,,355.4540654,727720.0,AAA,,He I,He,I,He I,,727720.0,live_nist
3,air,100H,bulk,3,356.0,355.6856112716226,355.7,6.477403333333334e-05,6.55272275094375e-05,3,0.25078999999999496,355.95079,355.95079,355.95078,288000000.0,B,,Ar II,Ar,II,Ar II,,288000000.0,live_nist
4,air,100H,bulk,3,314.0,313.59894466880877,313.6,5.0343299999999996e-05,5.1434571556171324e-05,1,0.0483899999999835,313.64839,313.64839,313.648425,,,,Ar II,Ar,II,Ar II,,,live_nist
4,air,100H,bulk,3,314.0,313.59894466880877,313.6,5.0343299999999996e-05,5.1434571556171324e-05,2,0.12800000000004275,313.472,313.472,313.4726,123000000.0,C,,O II,O,II,O II,,123000000.0,live_nist
4,air,100H,bulk,3,314.0,313.59894466880877,313.6,5.0343299999999996e-05,5.1434571556171324e-05,3,0.16289999999997917,313.7629,313.7629,313.763261,,,,Ar II,Ar,II,Ar II,,,live_nist
5,air,100H,bulk,3,308.0,307.8142883613788,307.8,2.1479548666666664e-05,2.1598236092779213e-05,1,0.33909999999997353,308.1391,308.1391,308.1389,,,,O II,O,II,O II,,,live_nist
5,air,100H,bulk,3,308.0,307.8142883613788,307.8,2.1479548666666664e-05,2.1598236092779213e-05,2,0.4977700000000027,308.29777,308.29777,308.29776,,,,Ar II,Ar,II,Ar II,,,live_nist
6,air,100H,bulk,3,379.0,378.62360163666233,378.6,1.4473693333333334e-05,1.4705118793111523e-05,1,0.03818999999998596,378.63819,378.63819,378.638198,1500000.0,B,,Ar II,Ar,II,Ar II,,1500000.0,live_nist
6,air,100H,bulk,3,379.0,378.62360163666233,378.6,1.4473693333333334e-05,1.4705118793111523e-05,2,0.06999999999999318,378.67,,378.67,970000.0,D,,O II,O,II,O II,,970000.0,live_nist
6,air,100H,bulk,3,379.0,378.62360163666233,378.6,1.4473693333333334e-05,1.4705118793111523e-05,3,0.10200000000003229,378.498,,378.498,5830000.0,D,,O II,O,II,O II,,5830000.0,live_nist
7,air,100H,bulk,3,429.0,428.9915394704995,429.0,8.674921333333333e-06,8.675021984022535e-06,1,0.117999999999995,428.882,428.882,428.882,,,,O II,O,II,O II,,,live_nist
